Frame,Time (s),X (µm),Y (µm)
227,18.16,35.417,20.215
228,18.24,35.405,20.131
229,18.32,35.406,20.313
230,18.4,35.545,20.797
231,18.48,35.167,20.952
232,18.56,34.879,21.177
233,18.64,35.194,21.064
234,18.72,35.429,20.686
235,18.8,35.279,21.288
236,18.88,35.641,21.483
237,18.96,35.452,21.808
238,19.04,35.381,21.692
239,19.12,34.87,21.201
240,19.2,35.107,21.565
241,19.28,35.105,20.945
242,19.36,35.405,20.888
243,19.44,35.603,20.726
244,19.52,35.631,20.779
245,19.6,35.678,21.0
246,19.68,36.014,21.223
247,19.76,35.971,20.617
248,19.84,35.931,20.889
249,19.92,35.954,20.338
250,20.0,36.183,20.519
251,20.08,36.446,20.384
252,20.16,36.988,20.051
253,20.24,36.971,19.89
254,20.32,37.332,19.505
255,20.4,37.157,19.491
256,20.48,37.335,19.749
257,20.56,37.38,19.967
258,20.64,37.876,19.969
259,20.72,38.058,20.273
260,20.8,37.944,20.407
261,20.88,38.117,21.011
262,20.96,38.227,21.149
263,21.04,38.15,20.971
264,21.12,38.081,20.879
265,21.2,37.829,20.654
266,21.28,38.615,20.563
267,21.36,38.666,20.512
268,21.44,38.953,20.699
269,21.52,38.64,20.912
270,21.6,38.349,20.918
271,21.68,38.32,21.03
272,21.76,38.292,20.811
273,21.84,38.531,20.645
274,21.92,38.264,19.934
275,22.0,38.429,19.704
276,22.08,38.868,19.553
277,22.16,38.626,20.275
278,22.24,38.895,19.88
279,22.32,38.64,19.889
280,22.4,38.751,19.784
281,22.48,38.867,19.325
282,22.56,39.368,19.39
283,22.64,39.189,19.383
284,22.72,39.25,18.957
285,22.8,39.557,18.283
286,22.88,39.243,18.257
287,22.96,39.255,17.84
288,23.04,39.025,18.022
289,23.12,38.842,17.934
290,23.2,39.048,18.077
291,23.28,39.258,17.982
292,23.36,39.994,18.414
293,23.44,40.394,18.604
294,23.52,40.77,19.033
295,23.6,40.737,19.061
296,23.68,40.667,18.765
297,23.76,40.719,18.357
298,23.84,40.095,18.21
299,23.92,40.572,18.29
300,24.0,40.397,18.108
301,24.08,40.113,18.806
302,24.16,39.997,18.787
303,24.24,40.254,18.917
304,24.32,40.613,18.942
305,24.4,40.519,18.584
306,24.48,40.651,18.888
307,24.56,40.645,19.075
308,24.64,40.375,19.325
309,24.72,40.432,19.063
310,24.8,40.449,19.072
311,24.88,40.027,19.066
312,24.96,40.343,19.406
313,25.04,39.911,19.017
314,25.12,39.984,19.217
315,25.2,39.697,19.587
316,25.28,39.476,19.475
317,25.36,39.286,19.251
318,25.44,39.491,19.64
319,25.52,39.146,19.72
320,25.6,39.099,20.053
321,25.68,39.54,20.28
322,25.76,39.351,20.598
323,25.84,39.348,20.559
324,25.92,39.54,19.964
325,26.0,39.382,20.148
326,26.08,39.52,19.965
327,26.16,39.34,20.156
328,26.24,39.541,20.019
329,26.32,39.563,20.5
330,26.4,39.305,20.444
331,26.48,39.705,20.697
332,26.56,39.683,21.03
333,26.64,39.609,21.022
334,26.72,39.354,21.131
335,26.8,39.227,21.142
336,26.88,39.204,20.892
337,26.96,39.257,21.33
338,27.04,39.569,21.082
339,27.12,39.204,20.647
340,27.2,39.11,20.516
341,27.28,39.449,20.566
342,27.36,39.504,20.599
343,27.44,39.622,20.514
344,27.52,40.072,20.396
345,27.6,40.171,19.793
346,27.68,40.305,19.983
347,27.76,40.297,20.492
348,27.84,40.796,20.293
349,27.92,41.094,19.786
350,28.0,40.895,20.01
351,28.08,41.052,19.971
352,28.16,40.734,18.834
353,28.24,41.042,18.627
354,28.32,41.233,18.217
355,28.4,41.191,17.888
356,28.48,41.08,18.471
357,28.56,40.58,18.766
358,28.64,40.796,18.732
359,28.72,40.765,18.748
360,28.8,40.679,19.215
361,28.88,40.883,18.911
362,28.96,40.698,19.139
363,29.04,40.535,18.969
364,29.12,40.341,19.225
365,29.2,39.963,19.304
366,29.28,40.638,19.103
367,29.36,40.584,19.426
368,29.44,40.486,19.599
369,29.52,40.738,20.147
370,29.6,39.855,20.045
371,29.68,39.845,20.102
372,29.76,39.848,19.918
373,29.84,39.574,20.287
374,29.92,39.701,20.084
375,30.0,39.131,20.095
376,30.08,39.129,20.488
377,30.16,39.37,20.657
378,30.24,38.738,20.756
379,30.32,38.32,20.849
380,30.4,38.261,20.962
381,30.48,38.237,21.164
382,30.56,38.032,21.09
383,30.64,38.107,20.529
384,30.72,38.146,20.93
385,30.8,37.736,20.636
386,30.88,37.673,21.183
387,30.96,37.278,21.28
388,31.04,36.657,22.214
389,31.12,35.94,22.569
390,31.2,36.184,22.705
391,31.28,36.103,22.985
392,31.36,36.606,22.593
393,31.44,36.149,22.657
394,31.52,36.002,22.563
395,31.6,36.048,22.58
396,31.68,35.96,21.996
397,31.76,36.052,21.368
398,31.84,36.045,21.585
399,31.92,35.825,21.607
400,32.0,35.126,21.484
401,32.08,34.813,21.463
402,32.16,35.25,21.278
403,32.24,35.421,21.143
404,32.32,35.764,21.345
405,32.4,35.557,21.28
406,32.48,35.462,21.486
407,32.56,35.177,21.283
408,32.64,35.247,20.758
409,32.72,35.227,20.567
410,32.8,35.317,20.526
411,32.88,35.774,20.2
412,32.96,35.504,20.086
413,33.04,35.675,19.938
414,33.12,35.247,20.206
415,33.2,35.522,20.449
416,33.28,35.363,20.765
417,33.36,35.309,20.539
418,33.44,35.313,20.635
419,33.52,35.74,21.006
420,33.6,35.697,21.055
421,33.68,35.524,21.031
422,33.76,35.158,20.804
423,33.84,35.201,21.043
424,33.92,34.927,21.091
425,34.0,34.752,21.378
426,34.08,34.711,21.331
427,34.16,34.865,21.927
428,34.24,34.631,21.916
429,34.32,34.784,21.555
430,34.4,35.246,21.611
431,34.48,34.795,21.748
432,34.56,35.143,22.118
433,34.64,35.712,21.976
434,34.72,35.513,21.814
435,34.8,35.651,21.732
436,34.88,35.232,21.614
437,34.96,35.294,20.995
438,35.04,35.169,21.2
439,35.12,35.221,21.559
440,35.2,34.93,21.334
441,35.28,34.665,21.044
442,35.36,34.505,20.999
443,35.44,34.27,20.759
444,35.52,34.061,20.985
445,35.6,33.967,20.802
446,35.68,33.618,20.977
447,35.76,33.538,20.615
448,35.84,33.634,20.203
449,35.92,32.946,19.75
450,36.0,32.961,19.337
451,36.08,32.711,19.46
452,36.16,32.355,19.704
453,36.24,31.936,19.745
454,36.32,31.654,19.807
455,36.4,31.4,19.166
456,36.48,31.452,19.488
457,36.56,31.052,19.129
458,36.64,31.298,19.506
459,36.72,31.023,20.206
460,36.8,31.169,20.224
461,36.88,31.428,20.404
462,36.96,31.042,20.583
463,37.04,31.299,20.202
464,37.12,31.872,19.875
465,37.2,31.712,19.675
466,37.28,31.842,19.719
467,37.36,31.777,19.962
468,37.44,31.773,19.996
469,37.52,31.696,20.315
470,37.6,31.533,20.167
471,37.68,31.717,19.758
472,37.76,31.947,19.767
473,37.84,31.931,19.751
474,37.92,32.342,19.341
475,38.0,32.634,19.638
476,38.08,32.821,19.363
477,38.16,32.61,19.154
478,38.24,33.134,19.219
479,38.32,33.497,18.909
480,38.4,32.887,19.088
481,38.48,32.57,19.202
482,38.56,32.431,19.334
483,38.64,32.689,19.335
484,38.72,33.033,19.199
485,38.8,32.948,18.982
486,38.88,33.014,19.073
487,38.96,33.206,19.47
488,39.04,32.846,19.701
489,39.12,33.01,19.812
490,39.2,32.922,20.106
491,39.28,32.973,20.495
492,39.36,32.958,20.139
493,39.44,32.627,20.134
494,39.52,32.347,20.494
495,39.6,32.359,20.315
496,39.68,32.395,20.189
497,39.76,32.321,20.376
498,39.84,32.618,20.322
499,39.92,32.518,20.681
500,40.0,32.177,20.602
501,40.08,32.08,20.785
502,40.16,32.031,21.521
503,40.24,31.994,21.864
504,40.32,32.32,21.486
505,40.4,32.463,21.198
506,40.48,32.759,20.919
507,40.56,32.934,20.917
508,40.64,32.888,20.525
509,40.72,33.179,20.697
510,40.8,33.106,21.205
511,40.88,33.177,21.666
512,40.96,32.897,21.458
513,41.04,32.926,21.388
514,41.12,32.836,21.311
515,41.2,32.942,21.083
516,41.28,33.452,21.58
517,41.36,34.118,21.391
518,41.44,34.406,21.079
519,41.52,34.4,21.19
520,41.6,34.633,21.294
521,41.68,34.7,21.739
522,41.76,34.532,22.188
523,41.84,34.517,22.141
524,41.92,34.449,21.545
525,42.0,34.282,21.744
526,42.08,34.671,21.981
527,42.16,34.522,22.502
528,42.24,34.386,22.054
529,42.32,34.586,21.722
530,42.4,34.394,22.172
531,42.48,34.074,22.641
532,42.56,33.838,23.015
533,42.64,33.976,23.01
534,42.72,34.085,23.381
535,42.8,34.171,23.221
536,42.88,34.044,22.863
537,42.96,33.791,22.843
538,43.04,34.049,22.871
539,43.12,33.647,23.099
540,43.2,33.591,23.409
541,43.28,33.223,22.899
542,43.36,33.113,22.976
543,43.44,33.074,23.11
544,43.52,33.422,22.741
545,43.6,32.623,22.659
546,43.68,33.01,22.668
547,43.76,32.767,22.788
548,43.84,32.854,22.533
549,43.92,33.085,22.353
550,44.0,32.877,22.028
551,44.08,32.858,22.116
552,44.16,33.002,22.012
553,44.24,32.973,21.834
554,44.32,32.774,22.007
555,44.4,32.833,21.949
556,44.48,32.871,21.595
557,44.56,32.458,21.91
558,44.64,32.847,22.178
559,44.72,32.918,22.299
560,44.8,32.247,21.991
561,44.88,32.023,22.298
562,44.96,32.514,22.119
563,45.04,32.967,21.572
564,45.12,33.052,21.525
565,45.2,32.59,22.029
566,45.28,32.533,21.889
567,45.36,32.839,22.046
568,45.44,32.959,22.425
569,45.52,32.876,22.467
570,45.6,32.68,22.366
571,45.68,32.922,22.358
572,45.76,32.873,22.513
573,45.84,32.975,22.356
574,45.92,33.124,22.444
575,46.0,33.595,22.591
576,46.08,33.657,22.472
577,46.16,33.741,22.665
578,46.24,33.252,22.814
579,46.32,33.575,22.71
580,46.4,33.836,22.647
581,46.48,33.844,22.667
582,46.56,33.219,22.614
583,46.64,33.072,22.544
584,46.72,33.105,22.242
585,46.8,33.705,22.262
586,46.88,33.882,22.46
587,46.96,34.116,22.63
588,47.04,34.357,22.387
589,47.12,34.743,22.535
590,47.2,34.436,22.698
591,47.28,34.208,22.427
592,47.36,33.888,22.564
593,47.44,33.819,22.505
594,47.52,33.73,22.391
595,47.6,33.768,22.447
596,47.68,33.491,22.378
597,47.76,33.526,21.74
598,47.84,33.296,21.789
599,47.92,33.899,21.464
600,48.0,33.76,21.428
601,48.08,34.484,21.61
602,48.16,34.951,21.533
603,48.24,34.624,21.397
604,48.32,34.902,21.424
605,48.4,35.081,21.553
606,48.48,34.659,21.306
607,48.56,34.838,21.118
608,48.64,34.821,21.246
609,48.72,34.928,21.684
610,48.8,34.697,21.672
611,48.88,34.687,21.906
612,48.96,34.811,21.686
613,49.04,34.769,21.676
614,49.12,34.606,21.684
615,49.2,34.569,21.311
616,49.28,34.302,21.293
617,49.36,34.406,21.227
618,49.44,33.696,20.498
619,49.52,34.126,20.458
620,49.6,34.152,20.525
621,49.68,34.292,20.575
622,49.76,34.539,20.647
623,49.84,34.198,20.317
624,49.92,34.845,20.092
625,50.0,34.538,20.018
626,50.08,34.676,19.755
627,50.16,34.775,19.602
628,50.24,35.15,19.922
629,50.32,35.155,19.653
630,50.4,34.766,19.536
631,50.48,34.864,20.025
632,50.56,34.178,19.966
633,50.64,34.128,19.666
634,50.72,34.005,19.718
